wifi_type,distance,distance_numeric,user_count,user_numeric,avg_throughput_kbps,avg_delay_ms,packet_loss_ratio,tx_packets,rx_packets,avg_packet_size_bytes,packet_loss_percentage
WiFi6,0m,0,users_1,1,5000.0,0.083998,0.0,12500,12500,1000,0.0
WiFi6,0m,0,users_10,10,4999.2,1.575402,0.00016,12500,12498,1000,0.016
WiFi6,0m,0,users_20,20,4996.8,4.356907,0.00064,12500,12492,1000,0.064
WiFi6,0m,0,users_50,50,3362.0,193.591946,0.3276,12500,8405,1000,32.76
WiFi6,30m,30,users_1,1,4999.2,0.08496,0.00016,12500,12498,1000,0.016
WiFi6,30m,30,users_10,10,4999.6,1.530708,8e-05,12500,12499,1000,0.008
WiFi6,30m,30,users_20,20,4994.8,3.519429,0.00104,12500,12487,1000,0.104
WiFi6,30m,30,users_50,50,4149.6,123.549499,0.17008,12500,10374,1000,17.008000000000003
WiFi6,60m,60,users_1,1,5000.0,0.09216,0.0,12500,12500,1000,0.0
WiFi6,60m,60,users_10,10,5000.0,1.672004,0.0,12500,12500,1000,0.0
WiFi6,60m,60,users_20,20,4994.0,3.833553,0.0012,12500,12485,1000,0.12
WiFi6,60m,60,users_50,50,2743.2,280.786634,0.45136,12500,6858,1000,45.135999999999996
WiFi6,90m,90,users_1,1,4999.6,0.101813,8e-05,12500,12499,1000,0.008
WiFi6,90m,90,users_10,10,4994.0,1.998368,0.0012,12500,12485,1000,0.12
WiFi6,90m,90,users_20,20,4668.8,143.357529,0.06624,12500,11672,1000,6.624
WiFi6,90m,90,users_50,50,1863.2,316.333023,0.62736,12500,4658,1000,62.736000000000004
WiFi6,120m,120,users_1,1,4999.6,0.106236,8e-05,12500,12499,1000,0.008
WiFi6,120m,120,users_10,10,5000.0,2.108626,0.0,12500,12500,1000,0.0
WiFi6,120m,120,users_20,20,4464.4,199.140049,0.10712,12500,11161,1000,10.712000000000002
WiFi6,120m,120,users_50,50,2031.2,322.891133,0.59376,12500,5078,1000,59.376
WiFi6,150m,150,users_1,1,4999.6,0.145892,8e-05,12500,12499,1000,0.008
WiFi6,150m,150,users_10,10,4994.4,2.441203,0.00112,12500,12486,1000,0.11199999999999999
WiFi6,150m,150,users_20,20,4139.2,218.107496,0.17216,12500,10348,1000,17.216
WiFi6,150m,150,users_50,50,1012.8,387.848532,0.79744,12500,2532,1000,79.744
WiFi7,0m,0,users_1,1,5000.0,0.083892,0.0,12500,12500,1000,0.0
WiFi7,0m,0,users_10,10,4998.8,1.618653,0.00024,12500,12497,1000,0.024
WiFi7,0m,0,users_20,20,4736.0,7.444459,0.0528,12500,11840,1000,5.28
WiFi7,0m,0,users_50,50,4033.2,127.720625,0.19336,12500,10083,1000,19.336000000000002
WiFi7,30m,30,users_1,1,5000.0,0.084602,0.0,12500,12500,1000,0.0
WiFi7,30m,30,users_10,10,4997.6,1.53275,0.00048,12500,12494,1000,0.048
WiFi7,30m,30,users_20,20,4749.6,3.375278,0.05008,12500,11874,1000,5.008
WiFi7,30m,30,users_50,50,4288.0,110.02247,0.1424,12500,10720,1000,14.24
WiFi7,60m,60,users_1,1,5000.0,0.092402,0.0,12500,12500,1000,0.0
WiFi7,60m,60,users_10,10,4996.8,1.689546,0.00064,12500,12492,1000,0.064
WiFi7,60m,60,users_20,20,4967.2,15.061548,0.00656,12500,12418,1000,0.656
WiFi7,60m,60,users_50,50,3006.0,300.618554,0.3988,12500,7515,1000,39.879999999999995
WiFi7,90m,90,users_1,1,5000.0,0.101236,0.0,12500,12500,1000,0.0
WiFi7,90m,90,users_10,10,4618.4,227.780023,0.07632,12500,11546,1000,7.632
WiFi7,90m,90,users_20,20,4998.8,4.765873,0.00024,12500,12497,1000,0.024
WiFi7,90m,90,users_50,50,2076.8,323.387984,0.58464,12500,5192,1000,58.464000000000006
WiFi7,120m,120,users_1,1,5000.0,0.108391,0.0,12500,12500,1000,0.0
WiFi7,120m,120,users_10,10,4929.2,6.21352,0.01416,12500,12323,1000,1.4160000000000001
WiFi7,120m,120,users_20,20,4406.8,201.121114,0.11864,12500,11017,1000,11.863999999999999
WiFi7,120m,120,users_50,50,1824.8,351.166771,0.63504,12500,4562,1000,63.504000000000005
WiFi7,150m,150,users_1,1,5000.0,0.142101,0.0,12500,12500,1000,0.0
WiFi7,150m,150,users_10,10,4551.2,273.331356,0.08976,12500,11378,1000,8.976
WiFi7,150m,150,users_20,20,4566.0,178.369783,0.0868,12500,11415,1000,8.68
WiFi7,150m,150,users_50,50,1008.0,382.543368,0.7984,12500,2520,1000,79.84
